Master Customer Code,Master project Code,Customer Code,PM Mail Id,Project End Date,Project Status,Confirmation No,Milestone No,Milestone Description,Document Currency,Amount In USD,Initial Milestone Date,Rescheduled Date,Amount In KUSD,Remarks
DEGRIMST,DGOMASTR,DEGRIMST_EU,himani.abhilipsa,31-Dec-26,Open,0,7922700,D365 Promotion Price Change,EUR,119350.67,30-Sep-25,30-Oct-25,119.35067,"Awaiting for PO, SO"
DEGRIMST,DGOMASTR,DEGRIMST_EU,himani.abhilipsa,31-Dec-26,Open,25063,7922701,Oct25 Billing Milestone,EUR,133085.65,30-Oct-25,30-Oct-25,133.08565,Delivery not complete
DEGRIMST,DGOMASTR,DEGRIMST_EU,himani.abhilipsa,31-Dec-26,Open,0,7922702,Milestone 7,EUR,72311.94,30-Nov-25,7-Dec-25,72.31194,"Awaiting for PO, SO"
DEGRIMST,DGOMASTR,DEGRIMST_EU,himani.abhilipsa,31-Dec-26,Open,90823,7922703,Phase 4 Sign-off,EUR,29325.86,30-Dec-25,29-Jan-26,29.32586,Delivery not complete
DEGRIMST,DGOMASTR,DEGRIMST_EU,himani.abhilipsa,31-Dec-26,Open,0,7922704,Jan26 Billing Milestone,EUR,106890.96,30-Jan-26,1-Mar-26,106.89096,Pending Client Sign-off
DEGRIMST,DGOPHA2,DEGRIMST_EU,john.doe,30-Jun-25,Closed,0,7165294,Mar24 Billing Milestone,EUR,80439.27,30-Mar-24,30-Mar-24,80.43927,Final reconciliation pending
DEGRIMST,DGOPHA2,DEGRIMST_EU,john.doe,30-Jun-25,Closed,0,7165295,D365 Promotion Price Change,EUR,30870.32,30-Apr-24,14-Jun-24,30.87032,Delivery complete but pending invoice generation
DEGRIMST,DGOPHA2,DEGRIMST_EU,john.doe,30-Jun-25,Closed,51110,7165296,Phase 3 Sign-off,EUR,102838.56,30-May-24,30-May-24,102.83856,Final reconciliation pending
DEGRIMST,DGOPHA2,DEGRIMST_EU,john.doe,30-Jun-25,Closed,0,7165297,UAT Sign-off,EUR,122960.67,30-Jun-24,30-Jul-24,122.96067,Final reconciliation pending
DEGRIMST,DGOPHA2,DEGRIMST_EU,john.doe,30-Jun-25,Closed,0,7165298,D365 Promotion Price Change,EUR,73971.65,30-Jul-24,13-Aug-24,73.97165,Final reconciliation pending
GMGDUBAI,GMGAMH25,GMGDUBAI_ME,milind.mandlekar,31-Dec-25,Open,38250,7959944,Oct24 Billing Milestone,AED,19072.77,31-Oct-24,31-Oct-24,19.07277,Delivery not complete
GMGDUBAI,GMGAMH25,GMGDUBAI_ME,milind.mandlekar,31-Dec-25,Open,0,7959945,UAT Sign-off,AED,93331.46,30-Nov-24,14-Jan-25,93.33146,Pending Client Sign-off
GMGDUBAI,GMGAMH25,GMGDUBAI_ME,milind.mandlekar,31-Dec-25,Open,0,7959946,Dec24 Billing Milestone,AED,114627.21,31-Dec-24,30-Jan-25,114.62721,"Awaiting for PO, SO"
GMGDUBAI,GMGAMH25,GMGDUBAI_ME,milind.mandlekar,31-Dec-25,Open,0,7959947,Phase 4 Sign-off,AED,41264.83,31-Jan-25,14-Feb-25,41.26483,Delivery not complete
